,Model,Correct,Wrong,Accuracy (%)
1,ChatGPT-5.5 Thinking,123,4,96.85
2,Gemini 3.1 Pro,123,4,96.85
3,ChatGPT-5.4,116,11,91.34
4,Grok 4,116,11,91.34
5,ChatGPT-5.2,115,12,90.55
6,Gemini 2.5 Pro,115,12,90.55
7,ChatGPT-4,114,13,89.76
8,Gemini 3 Pro,114,13,89.76
9,ChatGPT-5.4 Thinking,113,14,88.98
10,Claude Sonnet 4.5,113,14,88.98
11,DeepSeek-V4,111,16,87.4
12,ChatGPT-5,110,17,86.61
13,Claude Sonnet 4.6,109,18,85.83
14,Claude Sonnet 3.5,108,19,85.04
15,Grok 4.2,107,20,84.25
16,DeepSeek-V3,106,21,83.46
17,Gemma 4,100,27,78.74
18,Llama 4,96,31,75.59
19,Llama 3.3,93,34,73.23
20,DeepSeek-V3.2,87,40,68.5
