,Q4: Endocrinology | IDM Complications,Q8: Cardiology | Cyanotic CHD (Tricuspid),Q9: Cardiology | Duct-dependent (HLHS),Q11: Adverse Exposures to the Fetus | Prenatal Environmental Exposure (Smoking),Q15: Hematology | Hyperbilirubinemia,Q16: Hematology | Hemolysis (G6PD),Q18: Gastroenterology | Pyloric Stenosis (HPS),Q20: Physiology | Fetal Circulation,Q22: Cardiology | Pulse Pressure (Truncus),Q24: Endocrinology | Ambiguous Genitalia,Q25: Gastroenterology | NEC General Features,Q29: Cardiology | PPHN Treatment (NO),Q30: Pulm / Surgery | Resp. Distress (Diff Dx),Q31: Cardiology | S2 Heart Sounds,Q34: Perinatology | Teratogens,Q35: Metabolism | NKH Presentation,Q37: Infectious Dis. | RSV Prophylaxis,Q38: Surgery | CDH Management,"Q39: Fluid, Electrolytes, and Acid-Base Homeostasis | VLBW Complications",Q41: Metabolism | Urea Cycle (OTC),Q42: Endocrinology | CAH Enzyme Def.,Q46: Neurology | Kernicterus,Q47: Hematology | Vit K / Drugs,Q48: Pharmacology | Drug Side Effects,Q49: Pulmonology | Surfactant Proteins,Q50: Genetics | BWS and Tumors,Q51: Gastroenterology | GALD Diagnosis,Q53: Gastroenterology | Congenital Diarrhea,Q59: Gastroenterology | Malabsorption,Q61: Terminology | Gestational Definitions,Q62: Neurology | aEEG Monitoring,Q65: Infectious Dis. | Varicella,Q66: Rheumatology | Neonatal Lupus,Q67: Nutrition | Vitamin C / TPN,Q68: Development | Red Flags,Q69: Assessment | Ballard Criteria,Q71: Ophthalmology | ROP Risks,Q72: Gastroenterology | NEC Prevention,Q73: Endocrinology | Hyperinsulinism Tx,Q74: Neurology | Sarnat Stage II,Q77: Infectious Dis. | Rubella Features,Q79: Social / Abuse | Mandatory Screens,Q81: Cardiology | Heart Failure Causes,Q82: Infectious Dis. | Rubella Sequelae,Q83: Genetics | Barth Syndrome,Q84: Cardiology | Hydrops Fetalis,Q85: Pulmonology | Pulm Hypoplasia,Q88: Neurology | Acute Bili Enceph.,Q91: Nephrology | CNS Genetics,Q94: Neurology | HIE Cooling (aEEG),Q95: Perinatology | Polyhydramnios,Q96: Ventilation | PaCO2 Adjustment,Q97: Pernatalogy/Hematology | Rh Transfusion,Q98: Hematology/Neurology | Chronic Kernicterus,Q99: Hematology | VKDB Prevention,Q100: Metabolism | Dx Importance,Q101: Infectious Dis. | Parvovirus,Q102: Infectious Dis. | Sepsis Tx,Q103: Social / Abuse | Abuse Signs,Q105: Cardiology | VSD Surgery,Q107: Metabolism | Untreatable Tx,Q109: Metabolism | Rickets Lab,Q110: Endocrinology | Cong. Hypothyroid,Q112: Genetics | VACTERL Association,Q114: Perinatology | Polyhydramnios Causes,Q117: Pulmonology | TTN Management,Q120: Cardiology | EKG Axis,Q121: Pharmacology | Indomethacin Contra.,Q123: Infectious Dis. | CMV Sequelae,Q124: Gastroenterology | Diarrhea Diff.,Q126: Nephrology | CNS Finnish,Q127: Cardiology | Pulm Flow (Ebstein)
ChatGPT-5,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0
Gemini 3 Pro,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
Claude Sonnet 4.5,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
ChatGPT-5.2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
Claude Sonnet 3.5,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
Gemini 2.5 Pro,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
DeepSeek-V3,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1
ChatGPT-4,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
Claude Sonnet 4.6,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
DeepSeek-V3.2,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1
Gemini 3.1 Pro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
ChatGPT-5.4 Thinking,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
Grok 4.2,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
Llama 4,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1
ChatGPT-5.4,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
Llama 3.3,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0
Grok 4,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1
Gemma 4,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
ChatGPT-5.5 Thinking,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
DeepSeek-V4,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1
