model_1,model_2,rho
Gemini 3 Pro,Grok 4,0.8195481552000753
ChatGPT-5.4 Thinking,ChatGPT-5.4,0.7854808796793362
Gemini 3.1 Pro,ChatGPT-5.5 Thinking,0.7418699186991868
Gemini 3 Pro,ChatGPT-5.4,0.7271944589175469
Gemini 3 Pro,ChatGPT-5.4 Thinking,0.7105613058416631
Grok 4.2,Llama 4,0.7104883145492571
Claude Sonnet 4.6,ChatGPT-5.4,0.6775166096879139
ChatGPT-5,ChatGPT-5.2,0.6635854549709335
ChatGPT-5,Gemini 3 Pro,0.6301306189273763
Gemini 3 Pro,Claude Sonnet 4.5,0.6276189475311014
ChatGPT-5,Grok 4,0.6188875580141661
ChatGPT-5,Claude Sonnet 3.5,0.6131031195979681
Gemini 3 Pro,Claude Sonnet 4.6,0.6075557732447395
Claude Sonnet 4.5,Grok 4,0.606706557601781
ChatGPT-5.4 Thinking,Grok 4,0.606706557601781
ChatGPT-5.4,Grok 4,0.6018808777429469
ChatGPT-5,Claude Sonnet 4.5,0.6000060844624802
Claude Sonnet 4.5,ChatGPT-5.4 Thinking,0.5986093552465236
Gemini 3 Pro,Gemma 4,0.586397389434488
Gemini 3.1 Pro,ChatGPT-5.4,0.585612167935652
